器件,参数,数量,封装,选型原因,替代方案
STM32F103C8T6,72MHz Cortex-M3 64KB Flash 20KB SRAM,1,LQFP48,与现有标准库工程和引脚分配完全一致,STM32F103CBT6 可提供更大Flash
W25Q64JVSSIQ,64Mbit SPI NOR Flash,1,SOIC-8,容量足够存放音频且驱动已经完成,GD25Q64 MX25L6406E
ME6211C33M5G,3.3V LDO,1,SOT-23-5,低压差 发热低 适合5V输入,AP2112K-3.3 AMS1117-3.3
PAM8403,2x3W Class-D功放,1,SOP-16,5V供电效率高 成本低 适合小喇叭,PAM8302A单声道 LM386学习版
8MHz晶振,8MHz 12pF负载,1,3225,满足现有HSE配置,HC-49S 8MHz
22pF电容,晶振负载,2,0603,常见负载组合,18pF 20pF需按晶体CL重算
0.1uF电容,去耦/复位/接口去耦,10,0603,高频旁路通用值,0402 0805
1uF电容,LDO/Flash/音频耦合,5,0603或0805,补充中低频储能并隔直,2.2uF按稳定性要求替换
4.7uF电容,3.3V局部储能/LDO输出,2,0805,提升瞬态响应,10uF
10nF电容,音频RC滤波,2,0603,配合2.2k形成约7.2kHz截止,8.2nF或12nF需重算截止频率
47uF电容,输入大电容,1,1206或插件,抑制输入线缆扰动,100uF
470uF电解电容,功放储能,1,插件或7343,支撑喇叭瞬态大电流,220uF到1000uF按负载调整
2.2k电阻,音频RC滤波,2,0603,兼顾截止频率和GPIO负载,1k加22nF
10k电阻,复位 BOOT Flash OLED等上拉下拉,7,0603,常用弱上拉/下拉折中,4.7k或47k视接口调整
100k电阻,功放使能上拉,1,0603,弱上拉降低静态耗流,47k
1k电阻,LED限流,1,0603,保护PC13并减小亮度电流,2.2k
0R电阻,VBAT跳线,1,0603,便于未来改版断开VBAT,焊桥
绿色LED,状态指示,1,0603或0805,直观看系统状态,任意可见光LED
SS14,肖特基反接保护,1,SMA,压降低 易采购,PMEG2010 或改用MOS反接保护
自恢复保险丝,500mA,1,1812,输入过流保护,一次性保险丝或省略
磁珠,600R@100MHz,2,0603/0805,隔离VDDA与功放电源噪声,0R电阻或小电感
轻触开关,复位,1,6x6mm,调试方便,贴片轻触开关
BOOT0跳帽,2针,1,2.54mm,保留系统Bootloader入口,拨码开关
SWD排针,1x5,1,2.54mm,下载与调试,2x5 Cortex调试口
USART排针,1x4,1,2.54mm,文件传输与日志,USB转串口模块座
OLED排针,1x4,1,2.54mm,直接插接SSD1306 I2C模块,板载OLED座
喇叭端子,2P,2,5.08mm,桥接输出连接稳固,焊盘或JST端子
5V输入端子,2P,1,5.08mm,外接供电直观,USB-C供电接口
测试点,3V3 GND PWM FILT NRST,5,焊盘,方便示波器和万用表调试,圆形测试环
